Time(UTC),uu,uv,uw,uTs,uTc1,uH2O,vv,vw,vTs,vTc1,vH2O,ww,wTs,wTc1,wH2O,TsTs,Tc1Tc1,H2OH2O,u,v,w,Ts,Tc1,H2O,Uyp,WDy,WDyWDy,wgwg,wguy,wgTc2,uywg,uyTc2,Tc2Tc2,wg,Uy,Tc2,wdir_Y
2025-09-18 13:35:00,1.244,0.172,-0.117,-0.081,-0.078,-0.00021,1.382,-0.001,-0.039,-0.02,-7.6e-05,0.235,0.022,0.024,6e-05,0.020164,0.021025,0.0,4.145,0.188,0.04,26.66,20.28,0.03061,0,0,0,,,,0,,,,0,,
2025-09-18 13:40:00,1.673,0.111,-0.107,-0.029,-0.025,-0.000164,1.714,-0.042,0.003,0.011,-1e-05,0.222,0.004,0.008,4e-05,0.005041,0.005184,0.0,4.33,0.128,-0.012,26.58,20.18,0.03046,0,0,0,,,,0,,,,0,,
2025-09-18 13:45:00,1.666,0.18,-0.155,-0.019,-0.021,-0.000161,1.305,0.018,-0.005,-0.003,3.7e-05,0.26,0.002,0.011,4.7e-05,0.004356,0.004624,0.0,3.724,-0.132,0.012,26.58,20.17,0.03046,0,0,0,,,,0,,,,0,,
2025-09-18 13:50:00,1.152,0.068,-0.13,-0.003,-0.003,-0.000133,0.625,-0.057,-0.002,-0.001,-2e-06,0.192,-0.001,0.005,4.5e-05,0.004096,0.004761,0.0,3.71,0.15,-0.027,26.56,20.14,0.03049,0,0,0,,,,0,,,,0,,
2025-09-18 13:55:00,0.754,0.125,-0.07,0.006,-0.001,-0.000111,0.99,0.027,-0.001,-0.001,-2.8e-05,0.202,-0.003,0.004,4e-05,0.004761,0.004489,0.0,3.657,0.593,-0.021,26.58,20.15,0.0305,0,0,0,,,,0,,,,0,,
2025-09-18 14:00:00,2.123,-0.485,-0.16,-0.003,0.005,-0.000265,1.274,0.04,0.002,0.003,8.4e-05,0.26,-0.005,0.003,5.2e-05,0.005625,0.004356,0.0,4.326,-0.364,-0.001,26.58,20.16,0.03033,0,0,0,,,,0,,,,0,,
2025-09-18 14:05:00,0.813,-0.004,-0.132,0.015,0.011,-8.1e-05,0.896,0.004,-0.003,-0.002,2.6e-05,0.244,-0.01,0.001,3.9e-05,0.006724,0.004225,0.0,3.988,-0.201,0.038,26.54,20.12,0.03025,0,0,0,,,,0,,,,0,,
2025-09-18 14:10:00,1.509,-0.116,-0.073,0.026,0.032,-0.000173,0.932,-0.013,-0.01,-0.007,4.4e-05,0.245,-0.01,-0.002,4.2e-05,0.006889,0.005329,0.0,4.256,-0.293,-0.021,26.51,20.09,0.0302,0,0,0,,,,0,,,,0,,
2025-09-18 14:15:00,0.871,0.164,-0.084,0.014,0.006,-9.6e-05,0.744,0.01,-0.002,0.0,-3e-06,0.152,-0.01,-0.001,3.9e-05,0.006241,0.0049,0.0,2.788,0.01,0.011,26.51,20.09,0.03033,0,0,0,,,,0,,,,0,,
2025-09-18 14:20:00,1.297,-0.06,-0.136,0.042,0.039,-0.000214,0.654,0.016,-0.013,-0.01,2.8e-05,0.163,-0.012,-0.002,3.6e-05,0.009216,0.0064,0.0,3.009,-0.037,-0.012,26.47,20.04,0.03037,0,0,0,,,,0,,,,0,,
